日期,標題,內容,網址
2019/06/05,極致奢華！Comme des Garçons X Nike 超浮誇聯乘 Shox 正式抵台開售了！,"品牌：Comme des Garçons X Nike
型號：Shox
售價：NT $18,200
特色：Comme des Garçons 川久保玲在 2019 春夏時裝秀上，發佈這款鞋身剪裁完美引人注目的「Comme des Garçons x Nike Shox 彈簧鞋」！鞋體令人想起 Nike Shox TL，今回玲姐一改鞋面原本的結構，以網眼布及合成物料堆疊出鞋款的厚重鞋身，並加入時裝感的不完整收邊細節增添復古氣氛；同時，於鞋身框上醒目的金屬鍊條，呼應這一季 Comme des Garçons 的靈感謬思，伸展台上魚貫而出穿著臃腫服飾，甚至讓人聯想到懷孕象徵的女模們，這是川久保玲大膽展示的女性多重面貌，而女模腳上穿著暗示枷鎖的金屬鍊鞋，搭載 Nike Shox 的中底氣墊，完整呼應秀上表現的女性輪廓。不僅如此，鞋舌部位分別有「Comme des Garçons」以及「Nike Shox」字樣妝點，讓整雙鞋充滿細膩的時裝氛圍！團團精品本周全新引進，共計推出有黑、白兩色，數量有限，玲姐迷們趕快跟進啊！
購買：Comme des Garçons x Nike Shox 彈簧鞋，男女款皆有，即日起於團團敦南店獨家限定販售。
團團敦南專門店
地址：台北市大安區敦化南路一段263號
電話：02-2325-9089 
圖片：







",http://overdope.com/archives/432107
2019/06/04,大熱鞋款駕到！Yeezy Boost 350 V2「黑魂」”Black” 配色本周降臨台灣！,"品牌：adidas+Kanye West
型號：Yeezy Boost 350 V2 “Black”
售價：成人款 NT $8,800/ 幼童款 NT $5,690/ 嬰童款 NT $5,090
特色：adidas + KANYE WEST 系列當中受到潮流圈高度關注 YEEZY BOOST 350 V2 鞋款 ，睽違已久推出新配色 Black，極簡純黑以相同色調搭配，同步推出全家族尺寸，強勢宣告黑魂壓軸降臨。充滿設計的細節將鞋款招牌 SPLY – 350 字樣隱藏，鞋帶和後跟拉環以霸氣的純黑呈現。
選用 Primeknit 的鞋面設計，搭配鞋側半透明的鏤空切割和反光細節，包藏 BOOST 緩震中底的黑色橡膠外底，維持外觀上的一致性，堆疊強烈的視覺效果。備受注目的人氣鞋型 YEEZY BOOST 350 V2 Black 同步推出全家族尺寸包括成人、孩童、嬰兒等，符合 YEEZY 愛好者的需求，以霸氣黑魂配色制霸街頭。
購買：adidas + KANYE WEST YEEZY BOOST 350 V2 “Black” 將於 6 月 7 日星期五在指定門市全球同步上市，詳細販售訊息請密切關注官方粉絲團與 Instagram。
圖片：






",http://overdope.com/archives/432029
2019/06/04,工裝經典元素充滿！Carhartt WIP X Converse 聯乘 Chuck 1970 即將發布！,"品牌：Carhartt WIP X Converse
型號：Chuck 1970
售價：HKD $799
特色：知名工裝品牌 Carhartt WIP 與 Converse 在過去曾多次帶來合作款式，而每一次的設計不僅兼顧機能，外型設計更是相當受到歡迎，而近日品牌雙方再次傳出最新消息，表示將在 6 月 6 日迎來最新聯乘款式，從官方圖片可以看到，本次聯乘共有兩種配色，其上有著 Carhartt 最為經典的元素— 迷彩及獵鴨棕，相信對於喜愛工裝風格的讀者而言，絕對是最佳穿搭利器！
購買：據悉 Carhartt WIP X Converse 聯乘 Chuck 1970 將於 6 月 6 日於 Carhartt 各專門店、經銷商發售，但目前台灣尚未有消息，有興趣的讀者們不妨多加留意相關消息！
圖片：










",http://overdope.com/archives/432017
2019/06/03,跪求發售！Off-White X Nike The Ten 系列「未發布樣品」曝光，沒上市真的太可惜！,"Off-White 主理人 Virgil Abloh 與 Nike 合作推出的「The Ten」系列於今年初正式宣告終結，在該系列中有著多雙膾炙人口的款式，包括一開始的「最初十雙」等等，毫無疑問也是去年整年話題性最強的系列之一，雖然 The Ten 系列中已經包含了眾多配色、款式，但是在球鞋設計的過程中，設計師往往會蹦出許多創意，最後卻不一定全部採用，而日前爆料媒體便曝光了一系列的 The Ten 未發售配色，引發話題。




可以看到在未發售的 The Ten 中，還有黃色的 Air Jordan 1、全紅的 Air Max 90、米色的 Air Jordan 4、更複雜的 Air Vapormax 等等鞋款，許多款式看來都不比已發布的鞋款差，只能說這些鞋沒能正式上市真的太可惜了！

",http://overdope.com/archives/431945
2019/06/03,職人降臨！專訪球鞋客製大神 The Shoes Surgeon！,"2019 上半年度，多對傳奇級的波鞋湧現，由 The Ten 的最後一雙，到 Travis Scott 的玩味 Swoosh AJ1，再到 Sacai 與 Nike 的 Waffle ，多番帶來不同熱烘烘的話題，也大力吞噬了各位波鞋迷銀包內的彈藥。但對於這次專訪對象而言，縱使以上的岀品有多震撼，相信也不夠自己親手客製的波鞋特別。這次我們有幸參與國外客製大神 The Shoes Surgeon 的工作坊以及帶來以下專訪，到底這個達人又怎看波鞋界的動向？
撰文：BAG ｜圖片：Cliff
專訪客製大神 The Shoes Surgeon：「愛鞋的人一定要了解波鞋背後故事！」
(記者＝NM ; The Shoes Surgeon = TSS)
NM：還記得第一雙客製的鞋款是甚麼嗎？第一次的客製體驗是如何？
TSS：那時只是個十六歲的高中生，也可説是 Aj1 和 Nike SB Dunk low 盛世的年代，我卻選擇了一對全白的 Air Force 1 進行客製，並塗上了粉紅配色。著返學時竟獲同學們青睞，更不斷詢問我哪裡能夠入手，我便知道客製波鞋是一件很型的事，也漸漸開始這個（客製波鞋）工作。

Dominic Ciambrone aka The Shoes Surgeon
NM：就著近年不同的波鞋聯乘企劃（Nike x The Ten/ Travis Scott x AJ1 / Sacai x Nike LD Waffle）哪一個是你最喜愛的？背後的設計師和潮流達人（Travis Scott/Virgil Abloh）如何影響波鞋市場？
TSS：其實沒有最喜愛這回事，每一對波鞋都有各有特色，而這些特色正好回答你另一條問題。就是靠這群設計師以及潮流達人的努力，為每一雙別注波鞋注入它們的故事。

Dominic Ciambrone 也穿上了他客製的 Nike AJ1。
NM: 那你怎樣看現在各大牌子的岀品？是創意的表現還是不斷複製同一類産品？
TSS：我會説是靠品牌的努力才能為鞋迷們提供一個又一個平台，每一個企劃都花上了不少心機與創意。縱使炒賣是無可避免，我仍希望各位會先了解品牌以及設計背後的理念，才去選購一對自己真正喜歡的鞋款。説實話，這個也是我做客製波鞋的初衷。為一對心愛的波鞋注入更多故事，也令它更顯獨特。

NM: 我選擇了Raf Simon x adidas的Stan Smith 進行客製，這個選擇還可以嗎？（記者私心問）
TSS：哈哈哈！絕對可以，用色以及圖案較簡潔，一定有很大的發揮空間。

 
FARFETCH x The Shoes Surgeon 客製 Workshop 精華發送
看完訪問就知，《新 Monday》有幸參與了 FARFETCH x The Shoes Surgeon 聯手舉行的客製 Workshop，記者特意挑選了Raf Simon x adidas 的粉紅 Stan Smith 進行客製。詳細精華還請各位稍待一陣子！

",http://overdope.com/archives/431924
2019/06/01,潮鞋大爆發！六月這「5 雙」重量級球鞋絕對不能錯過！,"不知不覺間， 2019 年即將過去一半了，相信各位在今年也已經入手了不少喜愛的鞋款，而隨著六月及薪水的到來，我們在此整理出 5 雙將在六月發售的重量級潮鞋，而這次 Nike 與 adidas 各佔勝場，雙方都有相當誘人的鞋款發布，有興趣的各位鞋迷們可得隨時鎖定相關消息了！
 
1.Yeezy Boost 700 V2 “VANTA”

adidas + Kanye West Yeezy Boost 700 V2 推出黑魂配色 “Vanta”，將所有色彩歸零，強調極簡純黑的力度。全新配色 “Vanta” 除了受到潮流圈高度關注，更首次推出全家族尺寸包括成人、孩童、嬰兒等，滿足 YEEZY 系列愛好者，一同上腳閃耀潮流光芒。YEEZY BOOST 700 V2 “Vanta” 以充滿層次感的碳黑色為基底，麂皮皮革、科技網狀布料拼接的鞋面材質，不同色階的黑色深淺交錯，鞋面及中底選用反光材質細節，以流線型的鞋身設計詮釋前衛機能風格，搭載全腳掌 Boost 緩震中底，提供潮流份子極致舒適腳感。
定價：NT $10,800
發售日期：6 月 6 日




 
2.Yeezy Boost 350 V2 “Black”


早前我們曾為大家報導過，adidas Originals 將在近期推出黑魂版的 Yeezy Boost 350 V2，擁有 “Triple Black” 的極致黑色，相信接下來會成為街頭潮人們的心頭好，在消息傳出沒多久後，網路上也出現了該配色的實鞋諜照，使得消息的真實性提高了不少，而在日前，官方們更是陸續曝光了鞋款的發售日期，根據情報，Yeezy 350 V2 “Black” 將於 6 月 7 日發售，值得一提的是，在 6 月 6 日時，adidas 還將發售另一雙「全反光版」的相同配色，但從過去的經驗看來數量應該也不多，甚至台灣會不會發售也不知道，但有興趣的各位可千萬不能錯過了！
定價：NT $8,800 (預測)
發售日期：6 月 7 日



 
3.UNDERCOVER X Nike Daybreak

由設計師高橋盾主理的 UNDERCOVER 與 Nike 向來關係密切，包括高橋大師本人也以個人身分多次與 Nike 聯名，而說到近期 UC X Nike 的最強聯名系列，應該就要屬這雙曝光了數個月的 UC X Nike Daybreak 了吧。
日前官方及各知名爆料帳戶皆陸續曝光了該系列三雙配色的實鞋細節、官方圖，可以看到在經典而且復古的 Daybreak 上，UC 並未改變原始輪廓，但添加了不少全新的細節，光是在屁股處添加的「閃電支撐架」便令這雙聯乘有了競爭 2019 年度球鞋的資本，還可以看到屁股處印著代表 UNDERCOVER 的 “U” Logo，而鞋面的科技尼龍拼接麂皮革也相當精采，目前已知的共有黃、藍、黑三種配色，可以想見全黑配色最後應該會成為最熱門的款式，此外該聯乘還將發布一系列的服飾單品，有興趣的各位千萬不要錯過了！
定價：USD $160
發售日期：6 月 7 日



 
4.「限定版」Off-White X Nike Air Force 1

雖說先前 Virgil Abloh 曾宣布過「The Ten」系列已經確定結束，不會再有新配色，但其實該系列中還是有部分尚未發布的配色，例如下方的全藍色款 Virgil Abloh X Nike Air Force 1，原先根據消息，該配色將會於今年 6 月 Virgil Abloh 舉辦的《Figures Of Speech》個人特展上開放發售，但近日又傳出最新消息，表示該鞋款將於 6 月 14 日當天，在 Off-White 的官網上開放搶購，至於貨量還不確定，但應該不會有太多雙，不過官方依舊沒有出面確認此消息，有興趣的各位可得要密切注意相關情報了！
定價：USD $170
發售日期：6 月 14 日 (未確認)


 
5.Off-White X Nike Zoom Terra Kiger 5 

雖然 Nike 與 Virgil Abloh 的「The Ten」計畫結束了，但雙方可並未因此停止合作，在宣布結束 The Ten 沒多久後，Virgil 便在各個場合開始曝光全新的聯乘系列，而在經歷了這麼久的等待後，該系列終於即將迎來發售，新款式乃是 Virgil 以 Nike 的 Zoom Terra Kiger 5 作為設計圓形，鞋款上同樣維持著標語、防盜扣設計，以黑為底色，而鞋帶則為雙層設計，而亮紫色的大底上還有類似顏料滴落的視覺效果，與 The Ten 系列完全是不同的感受，據悉此系列名為 “Athlete In Progress”，隨著發售時間接近，想必會有更多情報釋出，有興趣的各位可得密切鎖定最新消息了！
定價：USD $180
發售日期：6 月 27 日




Source : IG、Google、Sneakernews

",http://overdope.com/archives/431854
2019/06/01,ASICS 首次與 GmbH 聯手，重新打造 GEL-KAYANO™ 5 OG！,"ASICS 與德國時尚品牌 GmbH 聯手，重新打造 GEL-KAYANO™ 5 OG 鞋款。 2018 年，該款鞋型對 1999 年首發的 GEL-KAYANO™ 5 進行了重新演繹，最初是為滿足重視時尚造型的消費者。GmbH 追溯了這一鞋款的根源，從 ASICS 獨特的先進技術中獲取靈感，由足部以及人體骨骼結構著手併進一步改裝達到強化身體的概念切入，創意總監 Benjamin Huseby 與 Serhat Isik 則在 GEL-KAYANO™ 5 OG 外觀上做足了文章。

GmbH 善於將時尚作為敘事方式，從機器人、假肢、矯形器械的材料及色彩中獲取靈感。ASICS x GmbH GEL-KAYANO 5™ OG 鞋款獨特設計中選用了類似 堅硬或柔軟、有機或合成組織的材料。裸粉、本白和淺綠的配色令人聯想起矯形手術、骨骼以及手術衣，充滿醫療器械感。
這次合作堅持了 ASICS 一直以來的核心理念 – “健康的精神寓於健全的體魄”，與 GmbH 創始人將運動和冥想作為療愈方式的不謀而合。兩個品牌共同彰顯了獨創意與工藝對運動鞋設計的重要性。

GmbH x ASICS GEL-KAYANO™ 5
發售時間: 5 月 30 日
發售價格: €180 歐元
發售平台: ASICS 及 GmbH 代理商

",http://overdope.com/archives/431826
2019/05/31,從賈柏斯到余文樂，New Balance 這三十年靠「這雙鞋」征服無數名人！,"
想要了解一個品牌為何而偉大，必須要先了解它後面深厚的歷史！這次 OVERDOPE 挑了 New Balance 特別要來說嘴，除了因為它的歷史悠久絕對值得一探究竟之外，還有光是今年才過了一半就已經看到了一堆知名單位與其爭先合作；包括川久保玲的 COMME des Garcons、United Arrows、波士頓著名鞋鋪 Bodega、以及大家耳熟能詳的余文樂之外，甚至連剛打進 NBA 總冠軍賽的 Kawhi Leonard 都開始跟 New Balance 合作推出聯名鞋款。
 

多倫多暴龍隊當家球星 Kawhi Leonard 與其 New Balance OMN1S / 997S 聯名鞋款。(Pic via Sneaker News)
 
蘋果電腦創辦人 Steve Jobs 賈柏斯。 (NB990)
 
好萊塢喜劇天王 Adam Sandler。 (NB990)
 
美國饒舌歌手 Dave East. (NB990)
 
成立於 1906 年的 New Balance 至今仍能有如此熱度，其實背後正是有 New Balance 990 這雙品牌的長青 OG 單品當靠山！在幫你進行鞋款腦補之前，讓我們先從品牌歷史娓娓道來。首先要先說給你嚇一跳的是，其實 New Balance 並不是靠賣鞋起家的！
 
New Balance 創辦人 William J. Riley. (Pic via Google)
 
足弓支撐器示意圖。(Pic via Google)
 
New Balance 除了當初並非如大家所想像是個製鞋大廠之外，甚至連老闆其實都不是美國人！
創辦人William J. Riley 自英國移民到美國波士頓後，於 1906 年創立了以販售「足弓支撐器」為主的「New Balance Arch Support Company」。New Balance 當時所生產的足弓支撐器每只售價為 $5 美金，這個價位在當時相當為一雙全新的運動鞋。這也說明了New Balance  最初即秉持著透過高質量的產品與高端售價，來定位出消費者心中的品牌價值。
 
New Balance 於 1938 年誕生的首雙運動鞋款原貌。 (Pic via New Balance)
 
而在 New Balance 990 誕生之前，創辦人 Riley 於1938 年透過與波士頓當地的俱樂部 Boston Brown Bag Harriers 成員 Danny McBride 接洽後，才推出了第一雙自家品牌為慢跑運動員所設計的鞋款。
 
New Balance 首雙市售運動鞋款「Trackster」。 (Pic via PicClick)
 
在累積了 20 餘年的慢跑鞋製造經驗後，New Balance 才終於在 1960 年推出首雙市售的 New Balance Trackster 鞋款。最終才於 1982 年以旗下「Made in USA」支線的名義推出了第一雙高端售價慢跑鞋 – New Balance 990。
 
 
New Balance 990V1 (1982)
New Balance 990 形象海報。 (Pic via Google)
 
New Balance 990 初代 (V1) 當時的售價與最初的足弓支撐器同樣「高貴」。New Balance 990 在當時成為首雙定價超過 3 位數美金、要價 $100 美金的運動鞋款。而原本品牌預計售出約 5 千雙的數量，結果最終共累計賣出了 5 萬雙！也因此奠定了 New Balance 990 在品牌中至今無可撼動的歷史地位。
 
New Balance 990 的報紙廣告。 (Pic via Google)
 
而 New Balance 990 的名稱來源，是以滿分 1,000、鞋款有 990 分的自信而出發命名。也因為 990 鞋款的強勢宣傳與令人印象深刻的高端定價，它的外型成為了大眾對 New Balance 鞋款設計的傳統印象；灰色鞋身、麂皮、白色大底，以及極簡美學。
 
 
New Balance 990V2 (1998)
New Balance 990 V2 樣貌。(Pic via Lyst)
 
與初代 990 的發售間隔長達了 16 年之久，在外型設計上當然也可看到截然不同的呈現；包括在大底設計加上了更多線條增添了許多俐落流線感，同時鞋身的層次也較為明顯豐富。
在運用的科技上當然也有所不同，中底改為配載了 ABZORB 的吸震科技。ABZORB 的特色在於能吸收 99% 以上的地面反作用力，避免讓運動員造成脊椎、膝蓋、腳踝等處的運動傷害。
 
 
New Balance 990V3 (2012)
New Balance 990 V3 樣貌。(Pic via Lyst)
 
所謂的長青鞋款完全可從 New Balance 990 系列得到驗證。New Balance 990 V3 在前一代登場的 12 年後，如此長時間的「尚未更新」卻仍穩定得到消費者的支持是多麼不容易的事。鞋身設計上除了擁有比 V2 看起來更一臉專業的「博士相」，在麂皮與網眼布料的比例上有著顛覆性的差異，擁有比起前一代更大面積的網眼布料，與麂皮的異材質拼接招牌手法卻也顯得有股不一樣的科技感。
中底部分也改為配載了 ENCAP 的避震科技。ENCAP 係由 PU 包覆 EVA 泡膠的複合式高避震組合系統；除了能供避震機能之外，還提供強大的足部支撐、防止腳部扭傷。
 
 
New Balance 990V4 (2016)
New Balance 990 V4 樣貌。(Pic via Google)
 
New Balance 990 系列自 V4 推出後，總算有看到 990 系列每代的發售間隔有縮短的趨勢。這次不用再等 10 幾 20 年，僅隔 4 年就看到了更新版本。慣用的灰色麂皮與白色大底依舊深印人心，網眼布料的位置與設計跟前一代相似，但一樣採用著 ENCAP 科技的中底卻是設計的亮點所在，後方鞋跟處以俐落的斜切線與灰色色澤令整體設計感覺與鞋身搭配的更加完整一致。售價方面則是來到 $174.99 美金之譜。
 
 
New Balance 990V5 (2019)

 
New Balance 990V5 是目前 990 系列歷史上更新速度最快速的一雙鞋款，這次不用再等 10 幾 20 年，僅隔 3 年就看到了更新版本。此次 V5 中除了符合潮流趨勢的復刻了經典的鞋型之外，一樣能看到傳統經典的灰色與麂皮等 990 招牌系列元素。
 

 
設計上於鞋身融合了頗具現代感的科技流線線條，並一樣維持品牌的簡約美學。除了 New Balance 獨家的中底 ENCAP 科技之外，點明 Made in USA 的鞋舌醒目美國國旗標誌也頗具存在感。
 
New Balance 990 V5 樣貌。(Pic via Matt Martin/gqus)
 
設計上可以看出 New Balance 堅持當初 OG 的設計方程式：灰色、麂皮與白色大底。儘管科技方面不斷突破，但外觀造型上始終保有的濃厚的老爹鞋潮味。
 


 










在 Instagram 查看這則貼文






















 
New Balance Baltimore（@newbalancebaltimore）分享的貼文 於 PDT 2019 年 5月 月 15 日 上午 5:47 張貼



 
而與其他 990 鞋款最為不同的地方，在於鞋領部分這次添加上 TPU Power Strap，能提供跑者穩定腳踝機能。另外連鞋墊都使用上Ortholite 抗菌抗臭的記憶鞋墊，全面提昇穿著體驗。台灣售價方面則定價為 NT$7,850 元整，喜歡的朋友不妨參考。
 
 
被 New Balance 990 征服的名人們
Pharrell Williams 菲董。
 
多倫多暴龍隊看板球星 Kawhi Leonard。
  
曾出演《蝙蝠俠對超人：正義曙光》Jesse Eisenberg。
 
New Balance 的愛好粉絲余文樂。 (all images via Google)
 
New Balance 990 經典的外型自 1982 年問世以來到近年老爹鞋的風潮興起，這 36 年之間看到了可謂是老中青三代通殺的罕見現象。從品牌堅持的高端品質反應在售價上的策略，不僅吸引到名人的追捧也進而得到了消費者的支持。
 
COMME des Garcons x New Balance 於 Junya Watanabe 巴黎時裝週首度亮相。 (Pic via Google)
 
余文樂潮牌 MADNESS x New Balance M990MD2。
 
如今甚至在 New Balance 990V5 上市之前就出現在川久保玲大弟子  Junya Watanabe 的巴黎時裝週伸展台上，除了指日可待的聯名之外，更讓 990 的保存價值如日中天。加上與素有當下潮流 ICON 地位的余文樂展開聯名，也許我們可以把 2019 年定位成 New Balance 990 的「潮流元年」吧！
 
 
",http://overdope.com/archives/431509
2019/05/30,王牌球星「內馬爾」加持！Nike Shox R4 正式推出 Neymar Jr. 專屬配色！,"
Nike Shox R4 於 2000 年首次推出，該鞋款充滿科幻美感和引人注目的配色，在初亮相時便引起了熱烈迴響。巴西足球球星 Neymar Jr. 說：「這是一款充滿未來感的球鞋。」並表示恨不得立刻將它收入囊中。


Nike Shox R4 Neymar Jr. 推出兩款足以匹配這位世界級前鋒的主題配色。第一款從一代配色得到靈感，保留了金屬質感細節和反光元素。第二款則採用漸層的設計，透過西瓜的紅､綠強烈對比呈現出 Neymar Jr.的童年生活—— 聖保羅繁雜喧鬧的市場。他這樣評論這雙鞋：「這配色令我著迷，我喜歡！」
Nike Shox R4 Neymar Jr. 已於 5 月 30 日起在 Nike 指定店點開始販售。
",http://overdope.com/archives/431739
2019/05/30,韓國人氣 Rapper Zico 正式加盟 Reebok，成為亞太區潮流代言人！,"知名運動品牌 Reebok 於今日宣布正式簽下亞洲知名音樂人 – ZICO 擔任亞太區代言人！ZICO 以獨特的音樂風格聞名亞洲，除了本身是名 Rapper 外，同時也是韓國藝人爭相合作的大勢音樂製作人，以出眾的時尚品味與演藝成就深刻影響了許多音樂人，成為 K pop 中的代表性人物。本次 Reebok 選擇 ZICO 作為品牌代言人，正是因其作為藝術家的眼光與時尚感，與 Reebok 經典潮流的理念不謀而合，未來 Reebok 將攜手 ZICO 引發更大的潮流能量。

Reebok 亞太區副總裁暨品牌總監 Wittman Chad 表示：「我們很高興能邀請到 ZICO 這樣一位時尚且極具天賦的音樂人加入 Reebok 代言人陣容。一直以來 Reebok 激勵人們勇於展現自我，而 ZICO 對時尚和音樂的大膽能與 Reebok 品牌精神相輝相映，我們相信未來和 ZICO 的合作可以鼓勵到更多年輕人。」

本次 ZICO 特別穿上全身的 Reebok Vector 系列單品亮相，從經典的 Vector T-shirt、復古運動外套到即將上市的全新三色魂 – Instapump Fury 黑款，演繹出 ZICO 名不虛傳音源強盜的大勢風範，完美展現 Classic 系列中的 Vector 經典潮流精神，未來 ZICO 將緊密與 Reebok 結合，粉絲們敬請期待！

",http://overdope.com/archives/431735
2019/05/30,六月根本是「Yeezy 月」！Yeezy Boost 700 V2 最新 “TEPHRA” 配色也在下月降臨！,"品牌：adidas+Kanye West
型號：Yeezy Boost 700 V2 “TEPHRA”
售價：NT $10,800 (預測)
特色：adidas 官方曾在前陣子說過，將在 2019 年推出 20 雙以上的 Yeezy 新配色，而看著今年的 Yeezy 一雙接一雙的發布，如今看來那番言論果然是認真的，根據爆料媒體 @yeezymafia 的消息，今年 6 月除了將發布 Yeezy Boost 350 V2 “Black” 黑魂配色外，adidas 還將發布另一雙 Yeezy Boost 700 V2 “TEPHRA” 配色，而稍早 adidas 更是正式發布了官方圖片，確認了此消息，值得一提的是，這雙 “TEPHRA” 與今年初發布的 “GEODE” 配色十分相近，不過整體色調輕鬆了一些，有興趣的讀者們可千萬不要錯過了！
購買：據悉 Yeezy Boost 700 V2 “TEPHRA” 將於 6 月 15 日發售，想入手的各位不妨密切留意相關情報！
圖片：






",http://overdope.com/archives/431728
2019/05/30,拆卸式 Vibram 大底！ALYX 主理人 Matthew M. Williams X Nike 聯乘鞋款官方細圖釋出！,"品牌：Matthew M. Williams X Nike
型號：未知
售價：未知
特色：在去年的巴黎時裝周上，ALYX 主理人 Matthew M. Williams 帶來了其與 Nike 的最新合作鞋款，引發鞋迷討論，而在近日，該雙聯乘的官方細圖終於釋出，我們也終於得以了解鞋款的全貌。
據悉該鞋款以 Nike Free Trainer 3.0 為主要設計來源，在高筒的襪套部分，可以看到有著 Nike 的 Swoosh，鞋款內側部分也有著較大的 Swoosh，整體看來是非常運動休閒的設計，不過最大的亮點果然還是可拆式的 Virbram 鞋底裝置，透過綁帶，著用者可將另一層 Vibram 大底與鞋款結合，整體又增添了一股機能感，有興趣的讀者們可千萬不能錯過。
購買：目前官方尚未曝光具體的發售情報，想要入手的各位不妨密切注意相關情報！
圖片：
















Source : Nike

",http://overdope.com/archives/431710
2019/05/29,所向披靡！Nike Trail 跑鞋升級回歸，這次絕對要將全地形征服！,"越野跑正逐漸成為全世界發展最快的運動之一，而這並非毫無緣由的。如今，越來越多的人希望尋求一種逃離：從吵雜的城市當中逃離，從繁重的日常工作中抽身，偶爾擺脫規則的束縛。而越野跑這種更加自然原始的運動方式恰好能夠滿足以上訴求。
全新 Nike Trail 跑鞋，針對複雜地形設計研發，能夠更完整滿足越野跑的需求。同時，在外觀設計上更加大膽，打造多樣的機能風格，幫助跑者輕鬆駕馭越野跑。
 
Nike Air Zoom Pegasus 36 Trail 跑鞋
21 世紀初，Nike 推出了第一款 Pegasus Trail 跑鞋。2019 年，這款全地形越野跑鞋使用全新設計和升級性能再次回歸。全新 Nike Air Zoom Pegasus 36 Trail 跑鞋靈感源自於 Pegasus 跑鞋，保留了跑者熟悉的外形設計和貼合腳感。




特色：
– 全新網眼鞋面，具備出色透氣性，有效應對越野跑過程中足部出汗的情況，並抵禦潮濕氣候
– 前掌和後跟的高磨損區域都在鞋面進行了耐磨防護處理，在越野跑過程中保護跑者雙腳，避免樹枝和石塊帶來的傷害
– 前掌和後跟各有一個 Zoom Air 氣墊，在複雜的路面上為跑者帶來出色的穩定性和能量回饋
– 外底採用加固凸紋，使其頂部更加平坦，在潮濕或鬆散的地面上也能提供強勁抓地力，讓跑者能夠輕鬆駕馭山徑路和公路
 
 

 
Nike Air Zoom Wildhorse 5 跑鞋
全新Nike Air Zoom Wildhorse 5跑鞋為駕馭複雜地形和長跑距離而打造，幫助跑者在越野跑中所向披靡。




特色：
– 鞋面採用輕盈透氣的多層網眼設計，高磨損區域加強包覆，提升耐穿性。簡潔鞋面設計減少了不必要的重量，同時提供耐久的支撐感。
– 中底採用堅實的鞋底材質，在複雜地形中為雙足提供保護，同時又不失貼地腳感。鞋跟處的Zoom Air氣墊帶來輕量出色的緩震體驗。
– 外底凸紋設計幫助阻隔泥水，耐磨橡膠材料進一步增強了耐穿性，粘性橡膠則提供強勁抓地力。



以上 2 款 Nike Trail 跑鞋產品將於 6 月 13 日起，在 Nike.com 和指定店發售。

",http://overdope.com/archives/431665
2019/05/29,666 又要搞事了？六叔限時動態再次預告將有全新計畫，對象依舊是 New Balance？！,"知名藝人余文樂於前陣子與 New Balance 聯名推出 Madness X New Balance 聯乘 990V2 鞋款，雖然事後他分享炒賣行情的行為引起不少反彈，但該雙鞋款無疑還是在炒賣市場上引發了不小的波動，再次讓我們見識到六叔的帶貨能力真的不是蓋的，不過這次的聯名計畫似乎尚未終結，他還打算再來炒一波話題？

稍早六叔於 IG 上發布了最新的限時動態，可以看到畫面中有著數雙 New Balance 的經典鞋款，而余文樂也在上方簡單的表示「New Project」，看來沒有意外的話，六叔最近應該又要來搞一波事了，相信以他的帶貨能力，下一次的合作計畫必定還是會引起一波風潮，對此有興趣的讀者們不妨密切關注我們的後續追蹤報導！

",http://overdope.com/archives/431658
2019/05/29,反勾熱潮還未結束？Travis Scott X Air Jordan 1 或將迎來「黑頭配色」？！,"由人氣饒舌歌手 Travis Scott 與 Jordan Brand 合作的聯名 Air Jordan 1 於日前正式發售，即便流通量多了好幾倍，但如今在炒賣市場上還是有著 30,000 台幣左右的行情，這雙 AJ1 究竟有多夯想必大家都有概念了。
而值得一提的是，在今年早些時候，我們曾為大家報導過，除了已發售的 Dark Mocha 配色外，Nike 似乎還準備了綠色版及紅色版，雖然不知道哪時候發售，甚至到底會不會發售，但無疑還是在許多鞋迷之間引起討論，而近日更有最新的諜照流出，而且赫然便是「Black Toe」配色的 TS 聯名！

當然，這張流出圖片也很有可能只是一雙假鞋，但無論如何還是讓眾多鞋迷們都一陣期待，看來 Travis Scott 引起的這股「反勾」還將持續一段不短的時間，此外，先前也有謠傳表示綠色版的 TS 聯名會在今年發售，這麼看下來，是什麼配色無法肯定，但再釋出一雙 Travis Scott 聯名還是相當有機會的！

",http://overdope.com/archives/431635
